username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018/04/25;1;3;"Last few seats left for upcoming 2 days #DevOps workshop in #NewDelhi Learn how to deliver your products faster & better to market in this tough competition with #Devops principles. How #communication & #Collaboration helps your team work together. #Workshop #Docker #Jenkins pic.twitter.com/ksxgvyG0CU";;;#DevOps #NewDelhi #Devops #communication #Collaboration #Workshop #Docker #Jenkins;"989034990192259072";https://twitter.com/PingalaSoftware/status/989034990192259072
;2018/04/24;0;3;"Excited to hear @jstrachan talking about Jenkins X at London Jenkins User meetup. #jenkins #jenkinscipic.twitter.com/Ywx7AfXL5z";;@jstrachan;#jenkins #jenkinscipic;"988852482175655937";https://twitter.com/Shashikant86/status/988852482175655937
;2018/04/24;0;3;"James is talking about #jenkins with little bit of magic of Ansible. London Jenkins Meetup. pic.twitter.com/svCtTMaBuB";;;#jenkins;"988843128646963200";https://twitter.com/Shashikant86/status/988843128646963200
;2018/04/24;3;2;"Anyone out there mobile dev savvy ( #iOS & #Android) AND know #Jenkins and need 20+ hours of work/week?";;;#iOS #Android #Jenkins;"988790165123497984";https://twitter.com/ruprict/status/988790165123497984
;2018/04/24;1;1;"We are looking for #BigData #Engineers in #Madrid to join our team in one of the most important Digital #Banking Companies in Spain https://www.k-lagan.com/en/big-data-engineers/ … … #digitization #nosql #apachekafka #jenkins #openshift #couchbase #spark #hadoop #scala #elasticsearchpic.twitter.com/Aeri0qNcFq";;;#BigData #Engineers #Madrid #Banking #digitization #nosql #apachekafka #jenkins #openshift #couchbase #spark #hadoop #scala #elasticsearchpic;"988669572424306688";https://twitter.com/KLAGAN_KLG/status/988669572424306688
;2018/04/23;3;2;"OpenDev CI/CD Schedule Now Live: Collaborative, Technical Event Focuses on Jenkins, Spinnaker, Zuul and More. #OpenDev #Spinnakerio #OpenStackSummit #CICD #Jenkins https://hubs.ly/H0bMLDJ0  by @businesswirepic.twitter.com/XGec3W2031";;@businesswirepic;#OpenDev #Spinnakerio #OpenStackSummit #CICD #Jenkins;"988494009848025089";https://twitter.com/MirantisIT/status/988494009848025089
;2018/04/23;3;4;"Here’s mine and @robertnorthard Jenkins meetup talk about how we’re scaling/using Jenkins across Accenture projects @AccentureTech #jenkins #accenture #continuousdeliveryhttps://youtu.be/15-fbmWJFYc ";;@robertnorthard @AccentureTech;#jenkins #accenture #continuousdeliveryhttps;"988483089486745600";https://twitter.com/md_devops/status/988483089486745600
;2018/04/23;2;2;"Measure twice, #automate once (quote from #devops.com) Include #SSRS reports, datasources, subscriptions in your #automatedDeployment pipeline w/ @rsNeatPublish - view demo http://www.rsneatpublish.com/web/GettingStarted.aspx … #teamCity #jenkins #tfs #sharePoint #sqlServer #dataSciencepic.twitter.com/upVDkGyMzM";;@rsNeatPublish;#automate #devops #SSRS #automatedDeployment #teamCity #jenkins #tfs #sharePoint #sqlServer #dataSciencepic;"988418206598512640";https://twitter.com/rsNeatPublish/status/988418206598512640
;2018/04/23;0;0;"QA Automation Engineer m f at Hello Fresh (Berlin) https://www.stackpair.com/l/v9RX  #automationengineer #berlin #jenkins";;;#automationengineer #berlin #jenkins;"988392995488649216";https://twitter.com/stackpair_feed/status/988392995488649216
;2018/04/20;5;10;"My 101 #Jenkins with #Dynatrace tutorial now on YouTube and GitHub. Showing Shift-Left & Shift-Right concepts on a #dockerized @nodejs #microservices app: https://github.com/dynatrace-innovationlab/jenkins-dynatrace-pipeline-tutorial …pic.twitter.com/CbeAVHiJTT";;@nodejs;#Jenkins #Dynatrace #dockerized #microservices;"987386005115334656";https://twitter.com/grabnerandi/status/987386005115334656
;2018/04/20;0;0;"[100% Off] Learn #DevOps with #Jenkins All in One Guide| Worth 49,99$ ===> http://bit.ly/2qN2Iwk pic.twitter.com/ykEZe1SCDs";;;#DevOps #Jenkins;"987356848520073217";https://twitter.com/UdemyForfree100/status/987356848520073217
;2018/04/28;2;3;"Docker for Desktop is Certified Kubernetes https://dockr.ly/2Jo4yvg  The tools coming together to leverage the strength of #DevOps. #kuberiter with #docker, #jenkins, and #kubernetes accomplishes the end to end pipe Line functionality.";;;#DevOps #kuberiter #docker #jenkins #kubernetes;"990344203015147520";https://twitter.com/kuberiter/status/990344203015147520
;2018/04/28;0;1;"BRAND NEW ROLE: A leading #software company in #Blisworth #Northamptonshire requires a #Linux #Systems #Administrator that would like to progress into a #DevOps #Engineer ( #Jenkins / #Java/ #C#) to join their team. Click to apply: https://buff.ly/2HBSmtE  #Jobs #ITjobs @ITRTGpic.twitter.com/bad1QMk5X0";;@ITRTGpic;#software #Blisworth #Northamptonshire #Linux #Systems #Administrator #DevOps #Engineer #Jenkins #Java #C # #Jobs #ITjobs;"990255072369086464";https://twitter.com/SSARecruit/status/990255072369086464
;2018/04/28;0;0;"R.I.P. Pops #Jenkins #Year4pic.twitter.com/cJRva7Hize";;;#Jenkins #Year4pic;"990245183194320896";https://twitter.com/Char8960/status/990245183194320896
;2018/04/27;3;2;"Why not #TuneIn #SundayMorning 6-8am #BritishClassics @WycombeSound 106.6FM or http://www.wycombesound.org.uk  #ClassicalMusic #Composer #Playlist #Walton #Delius #Elgar #Moeran #Goossens #Chilcott #Rutter #Jenkins #German #Alwyn #Ireland #Coates #Arnold #Smyth #Britten #VaughanWilliams";;@WycombeSound;#TuneIn #SundayMorning #BritishClassics #ClassicalMusic #Composer #Playlist #Walton #Delius #Elgar #Moeran #Goossens #Chilcott #Rutter #Jenkins #German #Alwyn #Ireland #Coates #Arnold #Smyth #Britten #VaughanWilliams;"989847840754159617";https://twitter.com/AmandaBoltArts/status/989847840754159617
;2018/04/27;0;1;"Check out the basics of #Rundeck - how it differs from #Jenkins, how Jenkins can be integrated with it and more! Read now! pic.twitter.com/DZMcbHO3bU";;;#Rundeck #Jenkins;"989799568932941824";https://twitter.com/ThinkPalm/status/989799568932941824
;2018/04/26;0;0;"Check out the latest post by Caylent CEO @josephlatorre on the top 20 #Jenkins plugins you need in your life https://goo.gl/ahsySa pic.twitter.com/cqtRpwAnhF";;@josephlatorre;#Jenkins;"989625300827951104";https://twitter.com/caylentinc/status/989625300827951104
;2018/04/26;0;2;"#DevOpsPlayground Networking. Thank you Anthony Forster, our DevOps and Continuous Delivery Consultant, for leading tonights session on #Jenkins & #Kubernetes https://goo.gl/gegqsV pic.twitter.com/KNkwO9LiUM";;;#DevOpsPlayground #Jenkins #Kubernetes;"989584808077611009";https://twitter.com/ECS_Digi/status/989584808077611009
;2018/04/26;0;3;"How to implement a highly available #Jenkins cluster in eight simple steps? https://buff.ly/2qKgHCU  #DevOps #Corosync https://buff.ly/2qKgHCU pic.twitter.com/LxRHz14zG4";;;#Jenkins #DevOps #Corosync;"989567295172300800";https://twitter.com/KharatAbhijit/status/989567295172300800
;2018/04/26;1;3;"Hot Job! #recruitment #Careers #Jobs #hiring #londonjobs #contractjobs #python #devops #development #programming #tech #techjobs #technology #linux #virtualization #IaaS #stack #saltstack #chef #ansible #SQLAlchemy #ORM #VMware #git #jenkins #agile #opensource #coding #digitalpic.twitter.com/MNeGnWUuKQ";;;#recruitment #Careers #Jobs #hiring #londonjobs #contractjobs #python #devops #development #programming #tech #techjobs #technology #linux #virtualization #IaaS #stack #saltstack #chef #ansible #SQLAlchemy #ORM #VMware #git #jenkins #agile #opensource #coding #digitalpic;"989508189640187905";https://twitter.com/Cititec/status/989508189640187905
;2018/04/24;0;3;"When your AP, secretaries and Students decide to work out with a few of our players..!!! #Jenkins #MsAnna #MrsRolondapic.twitter.com/Q1kPUXXY4P";;;#Jenkins #MsAnna #MrsRolondapic;"988869743514996738";https://twitter.com/JILLadyLancers/status/988869743514996738
;2018/04/23;1;2;"Discover the best practices & lessons learned about how to implement #DevOps using the Inflectra platform in conjunction with other tools, such as #Jenkins. DevOps Using #SpiraTeam, Jenkins and TaraVault: http://ow.ly/MK6W30jDtIe  #Blog #whitepaperpic.twitter.com/3DStLPepQe";;;#DevOps #Jenkins #SpiraTeam #Blog #whitepaperpic;"988473856984743936";https://twitter.com/inflectra/status/988473856984743936
;2018/04/23;1;3;"I am #recruiting for a #contract #DevOps #Engineer to work a major project for a #Data House in #Cheshire using #Kafka or #spark and #Kubernetes. Hugely exciting project! #contracts #Contractors #contractor #k8s #KafkaSummit #ApacheSpark #devopsdays #jenkins #ITjobspic.twitter.com/K4QZRzbfBd";;;#recruiting #contract #DevOps #Engineer #Data #Cheshire #Kafka #spark #Kubernetes #contracts #Contractors #contractor #k8s #KafkaSummit #ApacheSpark #devopsdays #jenkins #ITjobspic;"988431656435535872";https://twitter.com/contractswill/status/988431656435535872
;2018/04/23;1;1;"Bringing down the lint errors one by one. Making the code nicer everyday :) #AndroidDev #AndroidLint #IHateWarnings #Lint #Jenkins pic.twitter.com/6lxCo6E4CJ";;;#AndroidDev #AndroidLint #IHateWarnings #Lint #Jenkins;"988348102024163330";https://twitter.com/jonarandev/status/988348102024163330
;2018/04/20;0;0;"Check out our step-by-step guide for using #Jenkins in a #GenexUs project http://ow.ly/yUh430jwgOu  via @FabianBaptista #CI #DevOpspic.twitter.com/eyLoLQMm59";;@FabianBaptista;#Jenkins #GenexUs #CI #DevOpspic;"987352869010538497";https://twitter.com/AbstractaUS/status/987352869010538497
;2018/04/20;8;18;"Now that’s what I’m talking about! Awesome student project, these guys are crazy . I know who I will hire next. #scala #akka #redis #vuejs #kubernetes #SELFHOSTED #jenkins #prometheus #grafana #influxdb https://github.com/haris44/redis-api …pic.twitter.com/4tKgqFwDQl";;;#scala #akka #redis #vuejs #kubernetes #SELFHOSTED #jenkins #prometheus #grafana #influxdb;"987325562988515329";https://twitter.com/FGRibreau/status/987325562988515329
;2018/04/20;1;0;". #AutomatedDelivery of http://ASP.NET  Core Apps on On-Prem @kubernetesio by @ktsakalozos at #ITNEXT Showing #publiccloud, #privatecloud #Kubernetes deployments, and automate delivery of software basic CI/CD #Jenkins. #cloud #docker @Docker https://buff.ly/2JbI9Bc pic.twitter.com/YD6FLlSW7w";;@kubernetesio @ktsakalozos @Docker;#AutomatedDelivery #ITNEXT #publiccloud #privatecloud #Kubernetes #Jenkins #cloud #docker;"987314956830900229";https://twitter.com/ITNEXT_io/status/987314956830900229
;2018/04/27;1;4;"Enjoyed the #IntoTheBox #jenkins automation talk! Here's something about storing your jenkins setup: https://antonfisher.com/posts/2017/01/16/run-jenkins-in-docker-container-with-persistent-configuration/ …";;;#IntoTheBox #jenkins;"989934920452726785";https://twitter.com/denstar/status/989934920452726785
;2018/04/26;0;1;"How To Backup #Jenkins #Data and Configurations http://rite.ly/KMrn  #Londonpic.twitter.com/AhFVja46N4";;;#Jenkins #Data #Londonpic;"989655300553805825";https://twitter.com/manujagg/status/989655300553805825
;2018/04/26;0;10;"Enjoyable game tonight at Inky Road, @StaveleyMWFC Res beating @LincsMoorsFC 5-3, both sides playing good football and making lots of chances, #Taylor scoring 4 and #Jenkins with the other! #Trojans #OneClub #Together";;@StaveleyMWFC @LincsMoorsFC;#Taylor #Jenkins #Trojans #OneClub #Together;"989635755235561473";https://twitter.com/nigelashley1962/status/989635755235561473
;2018/04/26;0;1;"Our biggest turnout for #DevOpsPlayground yet. Thanks to everyone for coming. We hope you found it useful #Kubernetes #Jenkins #DevOps More info here: https://goo.gl/gegqsV pic.twitter.com/XrdzaPdZgj";;;#DevOpsPlayground #Kubernetes #Jenkins #DevOps;"989582024045465600";https://twitter.com/ECS_Digi/status/989582024045465600
;2018/04/26;0;0;"We offer #HashiCorp and #Jenkins training sessions for those who want to learn about #DevOps. https://hubs.ly/H0bKJXq0 pic.twitter.com/ONjzDfyCGQ";;;#HashiCorp #Jenkins #DevOps;"989489705849950209";https://twitter.com/ECS_Digi/status/989489705849950209
;2018/04/25;2;1;"Enterprise developers keep reaching for the cloud https://zd.net/2HJSbwf  via @ZDNet & @joemckendrick #kuberiter offers #jenkins, #docker and #kubernetes as a service powered by #AI for #multicloud";;@ZDNet @joemckendrick;#kuberiter #jenkins #docker #kubernetes #AI #multicloud;"989251668129628160";https://twitter.com/kuberiter/status/989251668129628160
